positions(3)
151,214,156
151,267,367
25,361,172
26,360,179
27,362,147
28,356,190
29,362,153
30,363,164
31,359,136
32,361,179
33,355,121
33,377,347
34,358,184
34,376,342
35,350,199
35,376,355
36,363,154
36,357,299
37,355,129
37,361,306
38,337,209
38,377,353
39,365,164
39,371,324
40,378,351
40,349,199
41,353,115
41,378,367
42,354,119
42,349,295
43,355,175
43,375,335
44,334,91
44,378,372
45,362,127
45,361,312
46,342,101
46,365,308
47,359,164
47,194,423
48,358,183
48,371,399
49,290,227
49,168,389
50,355,129
50,363,320
51,350,178
51,375,361
52,343,152
52,304,289
53,349,179
53,164,385
54,142,162
54,216,432
55,362,173
55,336,299
56,355,111
56,229,438
57,301,80
57,342,425
58,346,206
58,332,315
59,179,115
59,303,442
60,330,123
60,337,324
61,369,168
61,351,374
62,189,111
62,202,405
63,287,210
63,294,309
64,347,176
64,340,399
65,290,204
65,337,390
66,278,97
66,278,316
67,276,221
67,263,420
68,135,193
68,229,361
69,265,84
69,256,402
70,291,184
70,267,390
71,297,207
71,324,367
72,161,154
72,228,370
73,290,129
73,362,337
74,346,125
74,268,413
75,218,95
75,332,423
76,267,139
76,279,373
77,177,208
77,361,306
78,243,198
78,294,432
79,260,139
79,279,392
80,273,140
80,262,408
81,194,158
81,348,377
82,298,147
82,221,405
83,301,105
83,295,345
84,229,131
84,293,327
85,224,129
85,328,399
86,335,134
86,332,361
87,246,209
87,216,399
88,146,190
88,189,402
89,240,125
89,312,347
90,324,110
90,285,419
91,212,167
91,289,351
92,333,154
92,258,383
93,142,195
93,352,317
94,295,111
94,299,411
95,223,170
95,336,301
96,271,210
96,349,374
97,331,144
97,235,392
98,315,123
98,296,309
99,227,129
99,355,338
100,203,144
100,296,371
101,299,156
101,268,400
102,183,160
102,214,415
103,317,137
103,181,377
104,333,121
104,386,349
105,263,160
105,295,354
106,300,218
106,274,337
107,294,129
107,348,324
108,212,166
108,226,395
109,294,97
109,264,429
110,241,173
110,272,399
111,268,121
111,315,365
112,209,150
112,228,392
113,282,102
113,215,364
114,299,206
114,348,330
115,164,160
115,179,355
116,277,123
116,329,390
117,231,179
117,303,335
118,160,218
118,317,371
119,185,177
119,234,383
120,285,146
120,326,373
121,187,129
121,314,311
122,177,181
122,270,352
123,293,108
123,353,372
124,313,142
124,236,407
125,301,119
125,208,383
126,202,150
126,331,384
127,265,150
127,267,349
128,223,206
128,255,330
129,307,207
129,337,322
129,146,179
129,162,355
130,296,127
130,267,405
131,335,123
131,321,415
132,305,136
132,369,329
133,301,119
133,200,337
134,212,129
134,324,399
135,156,225
135,169,322
136,154,249
136,158,304
137,293,128
137,300,419
138,252,111
138,233,395
139,317,145
139,210,370
140,239,142
140,313,373
141,317,202
141,338,342
142,271,115
142,219,326
143,207,189
143,305,392
144,201,218
144,200,363
145,293,135
145,270,374
146,272,115
146,273,408
147,230,127
147,314,404
148,221,156
148,247,386
149,288,129
149,220,380
150,293,125
150,212,339
151,214,156
151,267,367
152,217,123
152,293,399
153,154,195
153,202,341
154,296,131
154,252,404
155,287,199
155,171,304
156,241,156
156,239,399
157,187,167
157,348,320
158,193,170
158,309,309
159,300,206
159,242,401
160,301,201
160,351,349
161,179,240
161,184,297
162,265,172
162,266,390
163,209,168
163,323,330
164,310,154
164,229,370
165,208,185
165,272,394
166,243,148
166,243,380
167,199,176
167,208,377
168,249,134
168,245,324
169,217,176
169,330,332
170,193,199
170,236,370
171,265,148
171,258,390
172,270,125
172,234,342
173,171,215
173,303,308
174,257,125
174,334,392
175,264,210
175,279,329
176,220,177
176,335,349
177,307,152
177,213,343
178,244,142
178,242,386
179,292,160
179,199,339
180,304,135
180,210,346
181,195,181
181,307,377
182,271,193
182,242,368
183,286,160
183,274,329
184,237,160
184,228,342
185,309,160
185,318,311
186,227,208
186,218,330
187,307,152
187,305,309
188,269,216
188,275,385
189,305,133
189,322,384
190,237,162
190,318,372
191,305,187
191,259,359
192,194,178
192,223,355
193,286,170
193,273,379
194,287,165
194,271,334
195,247,150
195,225,324
196,208,175
196,355,324
197,267,230
197,259,361
198,264,162
198,281,370
199,245,173
199,312,355
200,230,173
200,328,365
201,324,162
201,255,353
202,284,154
202,291,377
203,284,195
203,291,340
204,282,224
204,293,291
205,265,297
205,252,218
206,260,166
206,330,358
207,287,160
207,256,340
208,298,189
208,305,367
209,252,191
209,293,299
210,282,166
210,301,348
211,254,195
211,308,351
212,293,181
212,264,333
213,298,175
213,271,327
214,278,165
214,285,312
215,263,221
215,247,316
216,313,175
216,318,349
217,271,172
217,261,299
218,269,202
218,286,316
219,283,171
219,318,314
220,252,193
220,264,317
221,289,183
221,290,343
222,287,199
222,295,322
223,290,190
223,283,332
224,281,193
224,296,317
225,278,199
225,286,312
226,271,202
226,293,317
227,270,204
227,284,308
228,295,318
229,286,310
